,project,study,condition,rep_id,Strain Description,Strain,Base Media,Carbon Source (g/L),Nitrogen Source (g/L),Electron Acceptor,Trace Element Mixture,Supplement,Temperature (C),pH,Antibiotic,Culture Type,Growth Rate (1/hr),Evolved Sample,Isolate Type,Sequencing Machine,Additional Details,doi,GEO,n_replicates,run_date
control__wt_glc__1,Control,control,wt_glc,1,Escherichia coli K-12 MG1655,MG1655,M9,glucose(2),NH4Cl(1),O2,sauer trace element mixture,,37,7.0,,Batch,,No,,MiSeq,,doi.org/10.1101/080929,GSE65643,2,4/17/13
control__wt_glc__2,Control,control,wt_glc,2,Escherichia coli K-12 MG1655,MG1655,M9,glucose(2),NH4Cl(1),O2,sauer trace element mixture,,37,7.0,,Batch,,No,,MiSeq,,doi.org/10.1101/080929,GSE65643,2,4/17/13
fur__wt_dpd__1,Fur,fur,wt_dpd,1,Escherichia coli K-12 MG1655,MG1655,M9,glucose(2),NH4Cl(1),O2,,DPD (0.2mM),37,7.0,,Batch,0.0,No,,MiSeq,,doi.org/10.1038/ncomms5910,GSE54900,2,10/2/13
fur__wt_dpd__2,Fur,fur,wt_dpd,2,Escherichia coli K-12 MG1655,MG1655,M9,glucose(2),NH4Cl(1),O2,,DPD (0.2mM),37,7.0,,Batch,0.0,No,,MiSeq,,doi.org/10.1038/ncomms5910,GSE54900,2,10/2/13
fur__wt_fe__1,Fur,fur,wt_fe,1,Escherichia coli K-12 MG1655,MG1655,M9,glucose(2),NH4Cl(1),O2,,FeCl2 (0.1mM),37,7.0,,Batch,1.06,No,,MiSeq,,doi.org/10.1038/ncomms5910,GSE54900,2,9/5/13
fur__wt_fe__2,Fur,fur,wt_fe,2,Escherichia coli K-12 MG1655,MG1655,M9,glucose(2),NH4Cl(1),O2,,FeCl2 (0.1mM),37,7.0,,Batch,1.06,No,,MiSeq,,doi.org/10.1038/ncomms5910,GSE54900,2,9/5/13
fur__delfur_dpd__1,Fur,fur,delfur_dpd,1,Escherichia coli K-12 MG1655 del_fur,MG1655,M9,glucose(2),NH4Cl(1),O2,,DPD (0.2mM),37,7.0,Kanamycin (50 ug/mL),Batch,0.0,No,,MiSeq,,doi.org/10.1038/ncomms5910,GSE54900,2,10/2/13
fur__delfur_dpd__2,Fur,fur,delfur_dpd,2,Escherichia coli K-12 MG1655 del_fur,MG1655,M9,glucose(2),NH4Cl(1),O2,,DPD (0.2mM),37,7.0,Kanamycin (50 ug/mL),Batch,0.0,No,,MiSeq,,doi.org/10.1038/ncomms5910,GSE54900,2,10/2/13
fur__delfur_fe2__1,Fur,fur,delfur_fe2,1,Escherichia coli K-12 MG1655 del_fur,MG1655,M9,glucose(2),NH4Cl(1),O2,,FeCl2 (0.1mM),37,7.0,Kanamycin (50 ug/mL),Batch,0.62,No,,MiSeq,,doi.org/10.1038/ncomms5910,GSE54900,2,9/5/13
fur__delfur_fe2__2,Fur,fur,delfur_fe2,2,Escherichia coli K-12 MG1655 del_fur,MG1655,M9,glucose(2),NH4Cl(1),O2,,FeCl2 (0.1mM),37,7.0,Kanamycin (50 ug/mL),Batch,0.62,No,,MiSeq,,doi.org/10.1038/ncomms5910,GSE54900,2,9/5/13
